# energy grid [eV]     JDOS [1/eV]
#
    2.792792793    0.002154340
    2.807807808    0.002156556
    2.822822823    0.002160349
    2.837837838    0.002166956
    2.852852853    0.002177205
    2.867867868    0.002191453
    2.882882883    0.002209540
    2.897897898    0.002230787
    2.912912913    0.002254033
    2.927927928    0.002277737
    2.942942943    0.002300156
    2.957957958    0.002319588
    2.972972973    0.002334643
    2.987987988    0.002344496
    3.003003003    0.002349055
    3.018018018    0.002349011
    3.033033033    0.002345754
    3.048048048    0.002341174
    3.063063063    0.002337400
    3.078078078    0.002336542
    3.093093093    0.002340455
    3.108108108    0.002350562
    3.123123123    0.002367692
    3.138138138    0.002391935
    3.153153153    0.002422521
    3.168168168    0.002457759
    3.183183183    0.002495127
    3.198198198    0.002531544
    3.213213213    0.002563833
    3.228228228    0.002589295
    3.243243243    0.002606236
    3.258258258    0.002614318
    3.273273273    0.002614616
    3.288288288    0.002609374
    3.303303303    0.002601540
    3.318318318    0.002594231
    3.333333333    0.002590240
    3.348348348    0.002591711
    3.363363363    0.002599982
    3.378378378    0.002615583
    3.393393393    0.002638307
    3.408408408    0.002667337
    3.423423423    0.002701378
    3.438438438    0.002738791
    3.453453453    0.002777758
    3.468468468    0.002816445
    3.483483483    0.002853167
    3.498498498    0.002886524
    3.513513514    0.002915490
    3.528528529    0.002939445
    3.543543544    0.002958174
    3.558558559    0.002971845
    3.573573574    0.002981009
    3.588588589    0.002986635
    3.603603604    0.002990202
    3.618618619    0.002993817
    3.633633634    0.003000348
    3.648648649    0.003013498
    3.663663664    0.003037782
    3.678678679    0.003078354
    3.693693694    0.003140679
    3.708708709    0.003230063
    3.723723724    0.003351112
    3.738738739    0.003507196
    3.753753754    0.003699984
    3.768768769    0.003929140
    3.783783784    0.004192218
    3.798798799    0.004484796
    3.813813814    0.004800857
    3.828828829    0.005133368
    3.843843844    0.005474991
    3.858858859    0.005818807
    3.873873874    0.006158926
    3.888888889    0.006490858
    3.903903904    0.006811617
    3.918918919    0.007119537
    3.933933934    0.007413934
    3.948948949    0.007694732
    3.963963964    0.007962231
    3.978978979    0.008217104
    3.993993994    0.008460651
    4.009009009    0.008695201
    4.024024024    0.008924455
    4.039039039    0.009153531
    4.054054054    0.009388500
    4.069069069    0.009635337
    4.084084084    0.009898366
    4.099099099    0.010178523
    4.114114114    0.010471828
    4.129129129    0.010768566
    4.144144144    0.011053540
    4.159159159    0.011307556
    4.174174174    0.011510006
    4.189189189    0.011642127
    4.204204204    0.011690295
    4.219219219    0.011648649
    4.234234234    0.011520476
    4.249249249    0.011318009
    4.264264264    0.011060680
    4.279279279    0.010772154
    4.294294294    0.010476740
    4.309309309    0.010195895
    4.324324324    0.009945456
    4.339339339    0.009734110
    4.354354354    0.009563314
    4.369369369    0.009428546
    4.384384384    0.009321522
    4.399399399    0.009232750
    4.414414414    0.009153797
    4.429429429    0.009078762
    4.444444444    0.009004704
    4.459459459    0.008931150
    4.474474474    0.008859068
    4.489489489    0.008789830
    4.504504505    0.008724629
    4.519519520    0.008664572
    4.534534535    0.008611371
    4.549549550    0.008568252
    4.564564565    0.008540583
    4.579579580    0.008535782
    4.594594595    0.008562305
    4.609609610    0.008627829
    4.624624625    0.008737080
    4.639639640    0.008889884
    4.654654655    0.009080047
    4.669669670    0.009295408
    4.684684685    0.009519156
    4.699699700    0.009732136
    4.714714715    0.009915686
    4.729729730    0.010054438
    4.744744745    0.010138599
    4.759759760    0.010165338
    4.774774775    0.010139147
    4.789789790    0.010071152
    4.804804805    0.009977567
    4.819819820    0.009877519
    4.834834835    0.009790556
    4.849849850    0.009734152
    4.864864865    0.009721474
    4.879879880    0.009759636
    4.894894895    0.009848633
    4.909909910    0.009981081
    4.924924925    0.010142879
    4.939939940    0.010314820
    4.954954955    0.010475047
    4.969969970    0.010602121
    4.984984985    0.010678232
    5.000000000    0.010692031
    5.015015015    0.010640525
    5.030030030    0.010529659
    5.045045045    0.010373474
    5.060060060    0.010192030
    5.075075075    0.010008537
    5.090090090    0.009846232
    5.105105105    0.009725516
    5.120120120    0.009661706
    5.135135135    0.009663568
    5.150150150    0.009732662
    5.165165165    0.009863418
    5.180180180    0.010043870
    5.195195195    0.010256964
    5.210210210    0.010482381
    5.225225225    0.010698758
    5.240240240    0.010886130
    5.255255255    0.011028339
    5.270270270    0.011115098
    5.285285285    0.011143388
    5.300300300    0.011117963
    5.315315315    0.011050831
    5.330330330    0.010959769
    5.345345345    0.010866048
    5.360360360    0.010791722
    5.375375375    0.010756848
    5.390390390    0.010777071
    5.405405405    0.010861923
    5.420420420    0.011014091
    5.435435435    0.011229739
    5.450450450    0.011499807
    5.465465465    0.011812007
    5.480480480    0.012153147
    5.495495495    0.012511293
    5.510510511    0.012877365
    5.525525526    0.013245800
    5.540540541    0.013614168
    5.555555556    0.013981814
    5.570570571    0.014347876
    5.585585586    0.014709222
    5.600600601    0.015058936
    5.615615616    0.015385897
    5.630630631    0.015675721
    5.645645646    0.015912928
    5.660660661    0.016083825
    5.675675676    0.016179298
    5.690690691    0.016196736
    5.705705706    0.016140568
    5.720720721    0.016021332
    5.735735736    0.015853685
    5.750750751    0.015654010
    5.765765766    0.015438326
    5.780780781    0.015220941
    5.795795796    0.015013933
    5.810810811    0.014827214
    5.825825826    0.014668771
    5.840840841    0.014544708
    5.855855856    0.014458977
    5.870870871    0.014412865
    5.885885886    0.014404542
    5.900900901    0.014428937
    5.915915916    0.014478132
    5.930930931    0.014542257
    5.945945946    0.014610689
    5.960960961    0.014673300
    5.975975976    0.014721500
    5.990990991    0.014748950
    6.006006006    0.014751912
    6.021021021    0.014729316
    6.036036036    0.014682624
    6.051051051    0.014615562
    6.066066066    0.014533709
    6.081081081    0.014443935
    6.096096096    0.014353645
    6.111111111    0.014269890
    6.126126126    0.014198438
    6.141141141    0.014142994
    6.156156156    0.014104750
    6.171171171    0.014082405
    6.186186186    0.014072656
    6.201201201    0.014071043
    6.216216216    0.014072907
    6.231231231    0.014074191
    6.246246246    0.014071903
    6.261261261    0.014064158
    6.276276276    0.014049922
    6.291291291    0.014028637
    6.306306306    0.013999939
    6.321321321    0.013963589
    6.336336336    0.013919630
    6.351351351    0.013868655
    6.366366366    0.013812037
    6.381381381    0.013752011
    6.396396396    0.013691535
    6.411411411    0.013633990
    6.426426426    0.013582788
    6.441441441    0.013540968
    6.456456456    0.013510864
    6.471471471    0.013493830
    6.486486486    0.013490026
    6.501501502    0.013498271
    6.516516517    0.013515974
    6.531531532    0.013539235
    6.546546547    0.013563169
    6.561561562    0.013582484
    6.576576577    0.013592249
    6.591591592    0.013588717
    6.606606607    0.013570018
    6.621621622    0.013536561
    6.636636637    0.013491085
    6.651651652    0.013438357
    6.666666667    0.013384614
    6.681681682    0.013336815
    6.696696697    0.013301787
    6.711711712    0.013285286
    6.726726727    0.013291043
    6.741741742    0.013319917
    6.756756757    0.013369324
    6.771771772    0.013433196
    6.786786787    0.013502593
    6.801801802    0.013567019
    6.816816817    0.013616233
    6.831831832    0.013642222
    6.846846847    0.013640837
    6.861861862    0.013612715
    6.876876877    0.013563174
    6.891891892    0.013501116
    6.906906907    0.013437169
    6.921921922    0.013381510
    6.936936937    0.013341899
    6.951951952    0.013322348
    6.966966967    0.013322714
    6.981981982    0.013339255
    6.996996997    0.013365988
    7.012012012    0.013396516
    7.027027027    0.013425869
    7.042042042    0.013451924
    7.057057057    0.013476022
    7.072072072    0.013502589
    7.087087087    0.013537818
    7.102102102    0.013587688
    7.117117117    0.013655827
    7.132132132    0.013741767
    7.147147147    0.013840087
    7.162162162    0.013940710
    7.177177177    0.014030369
    7.192192192    0.014094963
    7.207207207    0.014122312
    7.222222222    0.014104737
    7.237237237    0.014040902
    7.252252252    0.013936517
    7.267267267    0.013803741
    7.282282282    0.013659406
    7.297297297    0.013522412
    7.312312312    0.013410817
    7.327327327    0.013339142
    7.342342342    0.013316334
    7.357357357    0.013344656
    7.372372372    0.013419569
