# energy grid [eV]     JDOS [1/eV]
#
    2.792792793    0.002690325
    2.807807808    0.002712890
    2.822822823    0.002741938
    2.837837838    0.002782413
    2.852852853    0.002837954
    2.867867868    0.002910581
    2.882882883    0.003000639
    2.897897898    0.003106932
    2.912912913    0.003226973
    2.927927928    0.003357299
    2.942942943    0.003493842
    2.957957958    0.003632332
    2.972972973    0.003768732
    2.987987988    0.003899629
    3.003003003    0.004022518
    3.018018018    0.004135899
    3.033033033    0.004239180
    3.048048048    0.004332415
    3.063063063    0.004415985
    3.078078078    0.004490351
    3.093093093    0.004555966
    3.108108108    0.004613396
    3.123123123    0.004663579
    3.138138138    0.004708131
    3.153153153    0.004749544
    3.168168168    0.004791169
    3.183183183    0.004836948
    3.198198198    0.004890924
    3.213213213    0.004956619
    3.228228228    0.005036424
    3.243243243    0.005131140
    3.258258258    0.005239741
    3.273273273    0.005359451
    3.288288288    0.005486090
    3.303303303    0.005614656
    3.318318318    0.005740034
    3.333333333    0.005857731
    3.348348348    0.005964537
    3.363363363    0.006059017
    3.378378378    0.006141787
    3.393393393    0.006215528
    3.408408408    0.006284720
    3.423423423    0.006355113
    3.438438438    0.006432977
    3.453453453    0.006524257
    3.468468468    0.006633780
    3.483483483    0.006764704
    3.498498498    0.006918359
    3.513513514    0.007094540
    3.528528529    0.007292179
    3.543543544    0.007510197
    3.558558559    0.007748209
    3.573573574    0.008006786
    3.588588589    0.008287036
    3.603603604    0.008589502
    3.618618619    0.008912577
    3.633633634    0.009250922
    3.648648649    0.009594403
    3.663663664    0.009928091
    3.678678679    0.010233540
    3.693693694    0.010491248
    3.708708709    0.010683770
    3.723723724    0.010798736
    3.738738739    0.010830991
    3.753753754    0.010783326
    3.768768769    0.010665719
    3.783783784    0.010493398
    3.798798799    0.010284357
    3.813813814    0.010056930
    3.828828829    0.009827854
    3.843843844    0.009610931
    3.858858859    0.009416188
    3.873873874    0.009249386
    3.888888889    0.009111842
    3.903903904    0.009000680
    3.918918919    0.008909707
    3.933933934    0.008830954
    3.948948949    0.008756713
    3.963963964    0.008681594
    3.978978979    0.008604015
    3.993993994    0.008526615
    4.009009009    0.008455390
    4.024024024    0.008397753
    4.039039039    0.008360091
    4.054054054    0.008345572
    4.069069069    0.008352892
    4.084084084    0.008376349
    4.099099099    0.008407271
    4.114114114    0.008436340
    4.129129129    0.008456149
    4.144144144    0.008463214
    4.159159159    0.008458865
    4.174174174    0.008448766
    4.189189189    0.008441262
    4.204204204    0.008445048
    4.219219219    0.008466846
    4.234234234    0.008509724
    4.249249249    0.008572420
    4.264264264    0.008649750
    4.279279279    0.008733870
    4.294294294    0.008815994
    4.309309309    0.008888162
    4.324324324    0.008944715
    4.339339339    0.008983241
    4.354354354    0.009004914
    4.369369369    0.009014196
    4.384384384    0.009017998
    4.399399399    0.009024450
    4.414414414    0.009041530
    4.429429429    0.009075843
    4.444444444    0.009131806
    4.459459459    0.009211382
    4.474474474    0.009314322
    4.489489489    0.009438743
    4.504504505    0.009581755
    4.519519520    0.009739895
    4.534534535    0.009909271
    4.549549550    0.010085476
    4.564564565    0.010263457
    4.579579580    0.010437552
    4.594594595    0.010601827
    4.609609610    0.010750679
    4.624624625    0.010879570
    4.639639640    0.010985668
    4.654654655    0.011068268
    4.669669670    0.011128901
    4.684684685    0.011171217
    4.699699700    0.011200703
    4.714714715    0.011224322
    4.729729730    0.011250054
    4.744744745    0.011286321
    4.759759760    0.011341233
    4.774774775    0.011421722
    4.789789790    0.011532683
    4.804804805    0.011676340
    4.819819820    0.011852021
    4.834834835    0.012056432
    4.849849850    0.012284351
    4.864864865    0.012529547
    4.879879880    0.012785584
    4.894894895    0.013046280
    4.909909910    0.013305652
    4.924924925    0.013557445
    4.939939940    0.013794531
    4.954954955    0.014008565
    4.969969970    0.014190251
    4.984984985    0.014330394
    5.000000000    0.014421575
    5.015015015    0.014460002
    5.030030030    0.014446949
    5.045045045    0.014389202
    5.060060060    0.014298238
    5.075075075    0.014188226
    5.090090090    0.014073348
    5.105105105    0.013965157
    5.120120120    0.013870695
    5.135135135    0.013791850
    5.150150150    0.013726057
    5.165165165    0.013668040
    5.180180180    0.013612001
    5.195195195    0.013553561
    5.210210210    0.013490890
    5.225225225    0.013424758
    5.240240240    0.013357614
    5.255255255    0.013292129
    5.270270270    0.013229809
    5.285285285    0.013170212
    5.300300300    0.013111087
    5.315315315    0.013049363
    5.330330330    0.012982615
    5.345345345    0.012910451
    5.360360360    0.012835300
    5.375375375    0.012762308
    5.390390390    0.012698372
    5.405405405    0.012650626
    5.420420420    0.012624840
    5.435435435    0.012624190
    5.450450450    0.012648689
    5.465465465    0.012695313
    5.480480480    0.012758680
    5.495495495    0.012831986
    5.510510511    0.012907957
    5.525525526    0.012979609
    5.540540541    0.013040825
    5.555555556    0.013086787
    5.570570571    0.013114375
    5.585585586    0.013122539
    5.600600601    0.013112560
    5.615615616    0.013088006
    5.630630631    0.013054244
    5.645645646    0.013017457
    5.660660661    0.012983380
    5.675675676    0.012956081
    5.690690691    0.012937223
    5.705705706    0.012926034
    5.720720721    0.012920008
    5.735735736    0.012916040
    5.750750751    0.012911564
    5.765765766    0.012905275
    5.780780781    0.012897261
    5.795795796    0.012888573
    5.810810811    0.012880549
