# omega (eV)     <Re(Eps)>     <Im(Eps)>
6.56156156    -3.66301273    2.75923062
6.57657658    -3.68629685    2.73992540
6.59159159    -3.70630091    2.69358346
6.60660661    -3.70757874    2.63126184
6.62162162    -3.69004390    2.56777731
6.63663664    -3.66109770    2.50923373
6.65165165    -3.62564363    2.45393274
6.66666667    -3.58140804    2.39939503
6.68168168    -3.52390120    2.35044803
6.69669670    -3.45581514    2.31572591
6.71171171    -3.38489163    2.29903834
6.72672673    -3.31841541    2.30039098
6.74174174    -3.26359621    2.31694878
6.75675676    -3.22499538    2.34319177
6.77177177    -3.20643054    2.37451210
6.78678679    -3.21431192    2.40062324
6.80180180    -3.24331539    2.40126871
6.81681682    -3.26875200    2.36819422
6.83183183    -3.27178281    2.31720436
6.84684685    -3.25382248    2.26591213
6.86186186    -3.22139293    2.22137767
6.87687688    -3.17942867    2.18828872
6.89189189    -3.13569710    2.17000316
6.90690691    -3.10011303    2.16439903
6.92192192    -3.07953206    2.16147729
6.93693694    -3.06958408    2.14805265
6.95195195    -3.05643173    2.12122050
6.96696697    -3.03237573    2.09035729
6.98198198    -3.00043167    2.06318283
6.99699700    -2.96407345    2.04088077
7.01201201    -2.92390370    2.02509573
7.02702703    -2.88326445    2.01967828
7.04204204    -2.85001202    2.02485215
7.05705706    -2.83052613    2.03350183
7.07207207    -2.82339513    2.03592121
7.08708709    -2.82169550    2.02742558
7.10210210    -2.81974264    2.00829779
7.11711712    -2.81328296    1.97899874
7.13213213    -2.79601080    1.94208074
7.14714715    -2.76419820    1.90592553
7.16216216    -2.72175099    1.87934547
7.17717718    -2.67722684    1.86520390
7.19219219    -2.63643464    1.85916358
7.20720721    -2.59820549    1.85816705
7.22222222    -2.56378763    1.86452721
7.23723724    -2.53911421    1.87679850
7.25225225    -2.52775577    1.88811613
7.26726727    -2.52785430    1.88940308
7.28228228    -2.53029503    1.87404967
7.29729730    -2.52306829    1.84447299
7.31231231    -2.50022841    1.81040690
7.32732733    -2.46347709    1.78091891
7.34234234    -2.41770820    1.76118194
7.35735736    -2.36837351    1.75285577
7.37237237    -2.31925508    1.75558523
7.38738739    -2.27412071    1.76972125
7.40240240    -2.23911010    1.79299106
7.41741742    -2.21747326    1.81772070
7.43243243    -2.20569820    1.83653861
7.44744745    -2.19722829    1.84663691
7.46246246    -2.18517123    1.84977557
7.47747748    -2.16599046    1.85294077
7.49249249    -2.14379776    1.86251953
7.50750751    -2.12436300    1.87785724
7.52252252    -2.10869208    1.89611895
7.53753754    -2.09619894    1.91720810
7.55255255    -2.08819799    1.94278769
7.56756757    -2.08969812    1.97310468
7.58258258    -2.10612400    2.00232734
7.59759760    -2.13683267    2.02079328
7.61261261    -2.17463939    2.02064059
7.62762763    -2.20718693    1.99983911
7.64264264    -2.22341126    1.96643060
7.65765766    -2.22104907    1.93322722
7.67267267    -2.20691032    1.91117101
7.68768769    -2.19401600    1.90153461
7.70270270    -2.18822520    1.89456758
7.71771772    -2.18402485    1.88419808
7.73273273    -2.17686794    1.87345824
7.74774775    -2.16876856    1.86583052
7.76276276    -2.16268038    1.86008963
7.77777778    -2.15820032    1.85404302
7.79279279    -2.15409232    1.84767545
7.80780781    -2.15040927    1.84183050
7.82282282    -2.14845773    1.83642099
7.83783784    -2.14859273    1.82942510
7.85285285    -2.14876069    1.81973923
7.86786787    -2.14721368    1.80828424
7.88288288    -2.14291679    1.79698365
7.89789790    -2.13690310    1.78887768
7.91291291    -2.13334458    1.78553266
7.92792793    -2.13787293    1.78371282
7.94294294    -2.15117859    1.77412046
7.95795796    -2.16333446    1.74991037
7.97297297    -2.16226420    1.71741246
7.98798799    -2.14816622    1.68940061
8.00300300    -2.12923794    1.67064802
8.01801802    -2.11117774    1.65967434
8.03303303    -2.09697801    1.65365623
8.04804805    -2.08750366    1.64950496
8.06306306    -2.08281524    1.64479218
8.07807808    -2.08160525    1.63580473
8.09309309    -2.07811960    1.62151746
8.10810811    -2.06940344    1.60764817
8.12312312    -2.05975445    1.59806673
8.13813814    -2.05305488    1.59028637
8.15315315    -2.04820869    1.58122659
8.16816817    -2.04365094    1.57139991
8.18318318    -2.04007801    1.56079048
8.19819820    -2.03672010    1.54809968
8.21321321    -2.03185253    1.53387013
8.22822823    -2.02565849    1.51953602
8.24324324    -2.01858831    1.50446734
8.25825826    -2.00874301    1.48920811
8.27327327    -1.99693179    1.47685911
8.28828829    -1.98657637    1.46727173
8.30330330    -1.97872743    1.45757718
8.31831832    -1.97153577    1.44555239
8.33333333    -1.96205005    1.43164121
8.34834835    -1.94898328    1.41867642
8.36336336    -1.93368929    1.40914890
8.37837838    -1.91795845    1.40442125
8.39339339    -1.90544754    1.40587134
8.40840841    -1.90191892    1.41024588
8.42342342    -1.90772121    1.40884691
8.43843844    -1.91479854    1.39676223
8.45345345    -1.91590129    1.37830467
8.46846847    -1.91138845    1.35940152
8.48348348    -1.90365175    1.34123124
8.49849850    -1.89290238    1.32417983
8.51351351    -1.87969331    1.30946341
8.52852853    -1.86509905    1.29828280
8.54354354    -1.85177205    1.29159493
8.55855856    -1.84315366    1.28729733
8.57357357    -1.83962139    1.28098085
8.58858859    -1.83840454    1.26952166
8.60360360    -1.83547791    1.25212448
8.61861862    -1.82677003    1.23077856
8.63363363    -1.81038667    1.21026269
8.64864865    -1.78874971    1.19536806
8.66366366    -1.76629227    1.18706859
8.67867868    -1.74545580    1.18400146
8.69369369    -1.72753774    1.18531330
8.70870871    -1.71442504    1.19021196
8.72372372    -1.70863751    1.19601065
8.73873874    -1.70974992    1.19715949
8.75375375    -1.71219187    1.19074518
8.76876877    -1.71161393    1.17955756
8.78378378    -1.70785395    1.16648672
8.79879880    -1.70119764    1.15263235
8.81381381    -1.69196338    1.13898743
8.82882883    -1.68042730    1.12571770
8.84384384    -1.66561433    1.11372576
8.85885886    -1.64825603    1.10604291
8.87387387    -1.63256790    1.10356616
