# omega (eV)     <Re(Eps)>     <Im(Eps)>
3.69369369    11.34921607    8.53845646
3.70870871    11.72508809    8.65574499
3.72372372    12.12481550    8.86509248
3.73873874    12.51323119    9.15585387
3.75375375    12.87778879    9.49884759
3.76876877    13.24988800    9.88203799
3.78378378    13.64519779    10.36006900
3.79879880    13.99472978    10.97984427
3.81381381    14.21440815    11.70115676
3.82882883    14.28585818    12.44017427
3.84384384    14.24814535    13.13931332
3.85885886    14.15405034    13.78859563
3.87387387    14.03003246    14.41666506
3.88888889    13.85604386    15.04111083
3.90390390    13.61836233    15.63197164
3.91891892    13.35395034    16.16499865
3.93393393    13.09539153    16.66896436
3.94894895    12.82937738    17.16954876
3.96396396    12.54689478    17.66481457
3.97897898    12.24480316    18.16057635
3.99399399    11.90818035    18.65472860
4.00900901    11.52790397    19.12857533
4.02402402    11.11441778    19.55011662
4.03903904    10.72163358    19.89926906
4.05405405    10.41565158    20.22530827
4.06906907    10.19198017    20.62150771
4.08408408    9.98231618    21.13879732
4.09909910    9.72957669    21.76736436
4.11411411    9.42608629    22.51069476
4.12912913    9.01665007    23.43244141
4.14414414    8.34249672    24.52994375
4.15915916    7.27821884    25.65844245
4.17417417    5.81137681    26.65332672
4.18918919    3.94804356    27.35446956
4.20420420    1.79611828    27.52792155
4.21921922    -0.33279550    27.04107349
4.23423423    -2.10566366    26.02721741
4.24924925    -3.39087407    24.79273175
4.26426426    -4.30675119    23.59175059
4.27927928    -5.05772728    22.44234501
4.29429429    -5.65637915    21.20178031
4.30930931    -5.92171312    19.89376694
4.32432432    -5.81665687    18.76256667
4.33933934    -5.53692601    17.97122733
4.35435435    -5.29506100    17.49231049
4.36936937    -5.22098434    17.21228372
4.38438438    -5.37683943    16.97649032
4.39939940    -5.72016598    16.59751751
4.41441441    -6.05718009    15.95951636
4.42942943    -6.17133919    15.16236502
4.44444444    -6.03886872    14.40965579
4.45945946    -5.75340828    13.79926101
4.47447447    -5.39296275    13.36511573
4.48948949    -5.04789333    13.11735766
4.50450450    -4.80369346    13.00651240
4.51951952    -4.69033480    12.95149650
4.53453453    -4.70164983    12.89051169
4.54954955    -4.82656592    12.75980439
4.56456457    -5.00724485    12.47888574
4.57957958    -5.10867519    12.01946163
4.59459460    -5.00117430    11.48328882
4.60960961    -4.68244312    11.03528630
4.62462463    -4.25551790    10.77580284
4.63963964    -3.83663567    10.71196273
4.65465465    -3.50071034    10.79922950
4.66966967    -3.28923644    10.98696692
4.68468468    -3.22885894    11.21241416
4.69969970    -3.30414911    11.40155526
4.71471472    -3.45904625    11.52139370
4.72972973    -3.66370655    11.58929729
4.74474475    -3.93726535    11.60518385
4.75975976    -4.28744101    11.51026479
4.77477478    -4.64136431    11.23434670
4.78978979    -4.86983385    10.79632794
4.80480480    -4.90457582    10.31332032
4.81981982    -4.78189503    9.89855629
4.83483483    -4.58419518    9.59528140
4.84984985    -4.37325491    9.38724889
4.86486487    -4.17051693    9.24627020
4.87987988    -3.97930884    9.15966597
4.89489490    -3.80679514    9.12630617
4.90990991    -3.66793212    9.14272973
4.92492493    -3.57711558    9.19725514
4.93993994    -3.54270089    9.27695331
4.95495495    -3.57731713    9.37115992
4.96996997    -3.70204427    9.45453083
4.98498498    -3.92306360    9.47183956
5.00000000    -4.19533306    9.36220771
5.01501502    -4.43704959    9.11350655
5.03003003    -4.58412471    8.76630873
5.04504505    -4.60937680    8.38047769
5.06006006    -4.51966908    8.01556866
5.07507507    -4.35099633    7.71152954
5.09009009    -4.14509618    7.47408252
5.10510510    -3.92261197    7.28888447
5.12012012    -3.68522517    7.14732101
5.13513513    -3.42919119    7.05390307
5.15015015    -3.16105029    7.03021702
5.16516517    -2.91778306    7.09142074
5.18018018    -2.74093496    7.21670944
5.19519520    -2.64677614    7.36699831
5.21021021    -2.62899932    7.50888624
5.22522522    -2.67677891    7.62216643
5.24024024    -2.78102079    7.68284648
5.25525525    -2.91211922    7.66265492
5.27027027    -3.01841591    7.56270496
5.28528528    -3.07398078    7.42208686
5.30030030    -3.08953058    7.26140491
5.31531532    -3.05746724    7.07950968
5.33033033    -2.96163204    6.90002497
5.34534535    -2.81305532    6.75204638
5.36036036    -2.63035857    6.64551016
