# omega (eV)     <Re(Eps)>     <Im(Eps)>
4.45945946    -1.24336127    31.52222484
4.47447447    -2.79461119    29.97643975
4.48948949    -3.79288867    28.55917436
4.50450450    -4.61048222    27.36265889
4.51951952    -5.42362752    26.13977395
4.53453453    -6.01351261    24.70134985
4.54954955    -6.12311582    23.26762943
4.56456457    -5.86096214    22.18252115
4.57957958    -5.54016565    21.55824256
4.59459460    -5.44267730    21.27889486
4.60960961    -5.70786565    21.08499862
4.62462463    -6.28444362    20.68547841
4.63963964    -6.91999734    19.87043496
4.65465465    -7.24712440    18.69548113
4.66966967    -7.09065081    17.49324921
4.68468468    -6.58874460    16.55844332
4.69969970    -5.97454522    15.96570614
4.71471472    -5.40652139    15.65813152
4.72972973    -4.96665579    15.55010810
4.74474475    -4.68794502    15.55824783
4.75975976    -4.58330686    15.61786802
4.77477478    -4.67004600    15.64696807
4.78978979    -4.90418346    15.52032744
4.80480480    -5.12918404    15.16729199
4.81981982    -5.17715436    14.67385993
4.83483483    -5.01906970    14.21872311
4.84984985    -4.76108764    13.91154069
4.86486487    -4.51973404    13.74263524
4.87987988    -4.34350123    13.64265020
4.89489490    -4.21086536    13.56103071
4.90990991    -4.09351113    13.50835564
4.92492493    -4.01784322    13.50784927
4.93993994    -4.02484150    13.53013625
4.95495495    -4.11371146    13.52593289
4.96996997    -4.26291985    13.46379482
4.98498498    -4.44873936    13.31920061
5.00000000    -4.63110146    13.06230516
5.01501502    -4.72645969    12.69151991
5.03003003    -4.66448886    12.29092113
5.04504505    -4.47194856    11.96443315
5.06006006    -4.21865328    11.74848777
5.07507507    -3.95345503    11.64322952
5.09009009    -3.71669553    11.64058138
5.10510510    -3.54169472    11.72145782
5.12012012    -3.45649510    11.85773228
5.13513513    -3.47307651    12.00985175
5.15015015    -3.59011543    12.14532540
5.16516517    -3.80332377    12.22799248
5.18018018    -4.09003293    12.22155097
5.19519520    -4.42115492    12.10206526
5.21021021    -4.76254745    11.83931652
5.22522522    -5.04049508    11.40605685
5.24024024    -5.14657688    10.84049267
5.25525525    -5.02580723    10.26450020
5.27027027    -4.72344716    9.79522831
5.28528528    -4.32908485    9.48286949
5.30030030    -3.92304183    9.32079030
5.31531532    -3.55400208    9.26980426
5.33033033    -3.22960954    9.29054567
5.34534535    -2.94500102    9.37352220
5.36036036    -2.71587993    9.51716935
5.37537537    -2.56206827    9.70136531
5.39039039    -2.48797372    9.89894044
5.40540540    -2.49094068    10.09023745
5.42042042    -2.57158168    10.25451825
5.43543543    -2.72410631    10.36187512
5.45045045    -2.92668320    10.37845107
5.46546547    -3.13456728    10.27829614
5.48048048    -3.28757021    10.06203123
5.49549550    -3.32754288    9.76149748
5.51051051    -3.21294962    9.44226434
5.52552553    -2.95058002    9.19250606
5.54054054    -2.60099904    9.07243535
5.55555556    -2.23209915    9.09264895
5.57057057    -1.89675409    9.23804416
5.58558559    -1.63102583    9.47257631
5.60060060    -1.43438334    9.75784663
5.61561562    -1.29397566    10.09100540
5.63063063    -1.23045935    10.48226090
5.64564565    -1.28175262    10.90593165
5.66066066    -1.44981798    11.30727861
5.67567568    -1.69830411    11.66251094
5.69069069    -2.01812839    11.98436348
5.70570571    -2.43032012    12.25839995
5.72072072    -2.93552709    12.44102304
5.73573574    -3.50622643    12.48505832
5.75075075    -4.07838609    12.35430157
5.76576577    -4.56434487    12.06560569
5.78078078    -4.91312177    11.68779913
5.79579580    -5.12167071    11.28869962
5.81081081    -5.20950743    10.92404204
5.82582583    -5.22170042    10.63236658
5.84084084    -5.20888329    10.41711047
5.85585586    -5.20631190    10.26129819
5.87087087    -5.23562042    10.13661612
5.88588589    -5.29413928    10.00959388
5.90090090    -5.36310216    9.86556563
5.91591592    -5.42776689    9.69891715
5.93093093    -5.46114975    9.51190620
5.94594595    -5.44667206    9.34402678
5.96096096    -5.42329877    9.23174759
5.97597598    -5.44117568    9.15098184
5.99099099    -5.49965852    9.05186066
6.00600601    -5.56571075    8.91466204
6.02102102    -5.61410034    8.74567635
6.03603604    -5.62800667    8.55534342
6.05105105    -5.58994282    8.36681263
6.06606607    -5.50791252    8.22066136
6.08108108    -5.42511039    8.13651427
6.09609610    -5.38357634    8.08962854
6.11111111    -5.38444441    8.03319293
6.12612613    -5.39224469    7.94712195
6.14114114    -5.37903598    7.84961668
6.15615616    -5.34739384    7.76863662
6.17117117    -5.31972570    7.71367910
6.18618619    -5.31178091    7.67324685
6.20120120    -5.32386330    7.63571328
6.21621622    -5.35846454    7.59835487
6.23123123    -5.42590098    7.54544042
6.24624625    -5.51219747    7.44665774
6.26126126    -5.57847328    7.29705009
6.27627628    -5.59886896    7.12202403
6.29129129    -5.57207462    6.95186072
6.30630631    -5.51425052    6.80693775
6.32132132    -5.44455104    6.68794657
6.33633634    -5.36747367    6.58911928
6.35135135    -5.28443665    6.51440733
6.36636637    -5.20525523    6.46887249
6.38138138    -5.14493255    6.44994042
6.39639640    -5.11509643    6.44330075
6.41141141    -5.11396542    6.43076054
6.42642643    -5.12980026    6.40192822
6.44144144    -5.15122288    6.35806028
6.45645646    -5.17616887    6.30268843
6.47147147    -5.20253634    6.23342321
6.48648649    -5.22424422    6.14979878
6.50150150    -5.23468986    6.05492698
6.51651652    -5.23070295    5.95756422
6.53153153    -5.21833723    5.86372915
6.54654655    -5.20220127    5.76967692
6.56156156    -5.17762523    5.67051572
6.57657658    -5.13308721    5.57104172
6.59159159    -5.06657613    5.49274041
6.60660661    -5.00537570    5.45185357
6.62162162    -4.98065295    5.42398687
6.63663664    -4.97814051    5.36998597
6.65165165    -4.95998347    5.29152241
6.66666667    -4.91691308    5.21870972
6.68168168    -4.86928748    5.16804612
6.69669670    -4.83656469    5.12763659
6.71171171    -4.81282151    5.07833696
6.72672673    -4.77993049    5.02157865
6.74174174    -4.73423677    4.97584691
6.75675676    -4.69483681    4.95135369
6.77177177    -4.67857002    4.93121719
6.78678679    -4.67426731    4.89437766
6.80180180    -4.65979154    4.84539194
6.81681682    -4.63443723    4.80632360
6.83183183    -4.62032503    4.78265541
6.84684685    -4.62882750    4.75462875
6.86186186    -4.64877301    4.70607997
6.87687688    -4.66517687    4.63466608
6.89189189    -4.66534853    4.54728031
6.90690691    -4.64749312    4.45694962
6.92192192    -4.61812536    4.36693062
6.93693694    -4.57526604    4.27393569
6.95195195    -4.51119957    4.18188856
6.96696697    -4.42088347    4.10231643
6.98198198    -4.30752577    4.05397071
6.99699700    -4.19294513    4.05304554
7.01201201    -4.10836909    4.09200854
7.02702703    -4.06579450    4.14239252
7.04204204    -4.05253335    4.18603760
7.05705706    -4.06113288    4.22559659
7.07207207    -4.10111681    4.25714075
7.08708709    -4.17350078    4.25750822
7.10210210    -4.25467957    4.20703258
7.11711712    -4.31242324    4.11042585
7.13213213    -4.32857126    3.99197544
7.14714715    -4.30598367    3.87695894
7.16216216    -4.25838535    3.77776468
7.17717718    -4.19673917    3.69592219
7.19219219    -4.12701931    3.63116375
7.20720721    -4.05572915    3.58351617
7.22222222    -3.98926246    3.54718299
7.23723724    -3.92425283    3.51432898
7.25225225    -3.85272480    3.48729066
7.26726727    -3.77346685    3.47554797
7.28228228    -3.69347265    3.48845533
7.29729730    -3.62716232    3.53056128
7.31231231    -3.59236517    3.59588048
7.32732733    -3.60289583    3.66735200
7.34234234    -3.66217941    3.71750187
7.35735736    -3.75093542    3.71762917
7.37237237    -3.83285154    3.66148515
7.38738739    -3.88064407    3.56867261
7.40240240    -3.88864820    3.46628149
7.41741742    -3.86725305    3.37303079
7.43243243    -3.83107795    3.29330922
7.44744745    -3.78615727    3.22190364
7.46246246    -3.73039381    3.15889233
7.47747748    -3.66646773    3.10850461
7.49249249    -3.59781498    3.07134607
7.50750751    -3.52761247    3.05014913
7.52252252    -3.46405167    3.04379098
7.53753754    -3.40850548    3.04435733
7.55255255    -3.35578275    3.05232382
7.56756757    -3.30952252    3.07372579
7.58258258    -3.27914391    3.10743510
