# omega (eV)     <Re(Eps)>     <Im(Eps)>
5.87087087    -5.37401431    10.79346065
5.88588589    -5.67405482    10.53119269
5.90090090    -5.89179692    10.25421893
5.91591592    -6.05024703    9.98575028
5.93093093    -6.17323684    9.73385811
5.94594595    -6.28347171    9.49060554
5.96096096    -6.38627667    9.22544263
5.97597598    -6.43803374    8.91579974
5.99099099    -6.38341978    8.61038852
6.00600601    -6.24535065    8.39878069
6.02102102    -6.11693825    8.31237676
6.03603604    -6.07858287    8.29986607
6.05105105    -6.14442779    8.27237292
6.06606607    -6.26316454    8.16691090
6.08108108    -6.36585197    7.97801159
6.09609610    -6.40823687    7.74296187
6.11111111    -6.38752356    7.50604962
6.12612613    -6.31897171    7.28872584
6.14114114    -6.21287991    7.10306058
6.15615616    -6.08260359    6.96155115
6.17117117    -5.94805321    6.87227143
6.18618619    -5.83702957    6.83285865
6.20120120    -5.77338105    6.81676968
6.21621622    -5.74914180    6.78880810
6.23123123    -5.74015318    6.74023345
6.24624625    -5.73650008    6.67410934
6.26126126    -5.72755399    6.58822071
6.27627628    -5.69722138    6.49178351
6.29129129    -5.64277777    6.40679499
6.30630631    -5.58176241    6.34805748
6.32132132    -5.53269185    6.30766334
6.33633634    -5.49283396    6.27288409
6.35135135    -5.45686173    6.25194658
6.36636637    -5.44422738    6.25256305
6.38138138    -5.47719988    6.25233385
6.39639640    -5.54886581    6.21542048
6.41141141    -5.62808015    6.12167138
6.42642643    -5.67776125    5.97669067
6.44144144    -5.67442895    5.80833129
6.45645646    -5.61804794    5.65053944
6.47147147    -5.52845610    5.52552333
6.48648649    -5.42759462    5.43682111
6.50150150    -5.33195760    5.37927846
6.51651652    -5.25119503    5.33831216
6.53153153    -5.17659455    5.30090325
6.54654655    -5.09633227    5.27527175
6.56156156    -5.01978056    5.27663502
6.57657658    -4.96696990    5.30182139
6.59159159    -4.94684019    5.33563784
6.60660661    -4.96109284    5.36426159
6.62162162    -5.00695490    5.36953522
6.63663664    -5.06470540    5.33570982
6.65165165    -5.11071264    5.26904912
6.66666667    -5.13709535    5.18225809
6.68168168    -5.13712174    5.08405821
6.69669670    -5.10640383    4.99219473
6.71171171    -5.05821985    4.92649949
6.72672673    -5.01860907    4.88727542
6.74174174    -4.99941156    4.85340838
6.75675676    -4.98944340    4.81006601
6.77177177    -4.97835469    4.76013411
6.78678679    -4.96512166    4.70732704
6.80180180    -4.94934464    4.65292059
6.81681682    -4.93111596    4.59739777
6.83183183    -4.90795095    4.54127590
6.84684685    -4.87992280    4.49124393
6.86186186    -4.85719866    4.44834508
6.87687688    -4.84313842    4.40098706
6.89189189    -4.82727989    4.34167538
6.90690691    -4.79750559    4.27659768
6.92192192    -4.75255424    4.21990650
6.93693694    -4.70353537    4.18121668
6.95195195    -4.66541811    4.15703039
6.96696697    -4.64314119    4.13273435
6.98198198    -4.62776945    4.09820563
6.99699700    -4.60873073    4.05453115
7.01201201    -4.58088703    4.00920826
7.02702703    -4.54773114    3.96962577
7.04204204    -4.51499230    3.93422030
7.05705706    -4.47906112    3.90014499
7.07207207    -4.43686291    3.87537262
7.08708709    -4.39727690    3.86867212
7.10210210    -4.37660942    3.87946041
7.11711712    -4.39052307    3.89066242
7.13213213    -4.43412558    3.87249008
7.14714715    -4.47689917    3.80900054
7.16216216    -4.48707220    3.71580651
7.17717718    -4.45940372    3.62425387
7.19219219    -4.41012410    3.55243186
7.20720721    -4.35558138    3.50143848
7.22222222    -4.30439436    3.46610077
7.23723724    -4.26131480    3.44209655
7.25225225    -4.23066221    3.42325775
7.26726727    -4.21299836    3.40110333
7.28228228    -4.20388585    3.36635009
7.29729730    -4.19016724    3.31362137
7.31231231    -4.15732639    3.25194874
7.32732733    -4.10470094    3.19799872
7.34234234    -4.04264347    3.16104255
7.35735736    -3.98242758    3.14034308
7.37237237    -3.92863869    3.12826609
7.38738739    -3.87645371    3.12146615
7.40240240    -3.82477862    3.12724221
7.41741742    -3.78531323    3.14974326
7.43243243    -3.76925367    3.17804339
7.44744745    -3.77243069    3.19761276
7.46246246    -3.78447338    3.20775626
7.47747748    -3.80835828    3.21358306
7.49249249    -3.85219120    3.20467799
7.50750751    -3.90654735    3.16193099
7.52252252    -3.94492231    3.08059854
7.53753754    -3.94538396    2.98063604
7.55255255    -3.91047161    2.88932467
7.56756757    -3.85743777    2.81885880
7.58258258    -3.80086621    2.76703333
7.59759760    -3.74692569    2.72645443
7.61261261    -3.69593293    2.69099580
7.62762763    -3.64454340    2.65657526
7.64264264    -3.58698417    2.62445820
7.65765766    -3.52181387    2.60133089
7.67267267    -3.45344991    2.59194883
7.68768769    -3.38593652    2.59786329
7.70270270    -3.32458963    2.62264864
7.71771772    -3.28164161    2.66631325
7.73273273    -3.26957645    2.71720453
7.74774775    -3.28936116    2.75436348
7.76276276    -3.32426930    2.76144720
7.77777778    -3.35208383    2.74166081
7.79279279    -3.36460554    2.71078207
7.80780781    -3.36693140    2.67910297
7.82282282    -3.36465381    2.64726779
7.83783784    -3.35726776    2.61472185
7.85285285    -3.34661866    2.58611134
7.86786787    -3.34102380    2.55919668
7.88288288    -3.33947509    2.52339928
7.89789790    -3.33164512    2.47654783
7.91291291    -3.31199780    2.42459364
7.92792793    -3.27943288    2.37279755
7.94294294    -3.23418068    2.32678394
7.95795796    -3.18029610    2.29155745
7.97297297    -3.12264244    2.26764806
7.98798799    -3.06269145    2.25518802
8.00300300    -3.00389197    2.25723763
8.01801802    -2.95355520    2.27316349
8.03303303    -2.91642438    2.29782807
8.04804805    -2.89426570    2.32591111
8.06306306    -2.88776845    2.35199084
8.07807808    -2.89576397    2.36922216
8.09309309    -2.91210341    2.37089715
8.10810811    -2.92689732    2.35652548
8.12312312    -2.93462623    2.33138774
8.13813814    -2.93334994    2.29903920
8.15315315    -2.91984016    2.26390570
8.16816817    -2.89448185    2.23409946
8.18318318    -2.86387551    2.21527917
8.19819820    -2.83605274    2.20740827
8.21321321    -2.81745412    2.20598321
8.22822823    -2.81075414    2.20287078
8.24324324    -2.81241286    2.18950080
8.25825826    -2.81373454    2.16117460
8.27327327    -2.80389190    2.12020325
8.28828829    -2.77669007    2.07632765
8.30330330    -2.73391335    2.03965580
8.31831832    -2.68166960    2.01680150
8.33333333    -2.62857781    2.01006777
8.34834835    -2.58267694    2.01588733
8.36336336    -2.54687508    2.02678652
8.37837838    -2.51763042    2.03726583
8.39339339    -2.49020349    2.04879523
8.40840841    -2.46698882    2.06652125
8.42342342    -2.45681981    2.08788573
8.43843844    -2.46107253    2.10031718
8.45345345    -2.46813202    2.09608962
8.46846847    -2.46660446    2.08060009
8.48348348    -2.45486761    2.06320491
8.49849850    -2.43654946    2.04859241
8.51351351    -2.41483711    2.03795732
8.52852853    -2.39242542    2.03127904
8.54354354    -2.37154529    2.02637042
8.55855856    -2.35050741    2.01979121
8.57357357    -2.32487775    2.01255959
8.58858859    -2.29367487    2.00921672
8.60360360    -2.25913624    2.01317847
8.61861862    -2.22458944    2.02607432
8.63363363    -2.19328917    2.04859178
8.64864865    -2.17102275    2.08083534
8.66366366    -2.16432128    2.11554366
8.67867868    -2.16956831    2.14170865
8.69369369    -2.17657334    2.15724741
8.70870871    -2.17960378    2.16703172
8.72372372    -2.17683450    2.17639221
8.73873874    -2.16908529    2.19236191
8.75375375    -2.16479533    2.22146430
8.76876877    -2.17722806    2.25943981
8.78378378    -2.21075196    2.29189099
8.79879880    -2.25796799    2.30695667
8.81381381    -2.30680325    2.30075363
8.82882883    -2.34581010    2.27770457
8.84384384    -2.36986313    2.24831034
8.85885886    -2.38242505    2.22241412
8.87387387    -2.39149118    2.20368887
8.88888889    -2.40436885    2.18973145
8.90390390    -2.42467813    2.17298008
8.91891892    -2.44695014    2.14536984
8.93393393    -2.46185465    2.10861148
8.94894895    -2.46746871    2.06918279
8.96396396    -2.46515707    2.02970332
8.97897898    -2.45454369    1.99163238
8.99399399    -2.43456596    1.95887833
9.00900901    -2.40893897    1.93832285
9.02402402    -2.38839931    1.93093801
9.03903904    -2.37959867    1.92730514
9.05405405    -2.37820323    1.91792727
9.06906907    -2.37534532    1.90194970
9.08408408    -2.36700184    1.88601937
9.09909910    -2.35752176    1.87557657
9.11411411    -2.35274531    1.86868612
9.12912913    -2.35348527    1.86030517
9.14414414    -2.35691947    1.84746951
9.15915916    -2.35990340    1.83046284
9.17417417    -2.36183835    1.81064472
9.18918919    -2.36228475    1.78696959
9.20420420    -2.35735920    1.75945906
9.21921922    -2.34421078    1.73347879
9.23423423    -2.32661564    1.71512263
9.24924925    -2.31177822    1.70474297
9.26426426    -2.30429569    1.69703815
9.27927928    -2.30247853    1.68551503
9.29429429    -2.30092992    1.66904905
9.30930931    -2.29841097    1.65063504
9.32432432    -2.29690941    1.62924450
9.33933934    -2.29339578    1.60113334
9.35435435    -2.28101734    1.56824626
9.36936937    -2.25745176    1.53869727
9.38438438    -2.22821079    1.51927376
9.39939940    -2.20164426    1.50959754
9.41441441    -2.18170939    1.50283432
9.42942943    -2.16378453    1.49322855
9.44444444    -2.14158816    1.48417771
9.45945946    -2.11727959    1.48294626
9.47447447    -2.09875263    1.49041302
9.48948949    -2.09096488    1.50092574
9.50450450    -2.09372814    1.50786315
9.51951952    -2.10357973    1.50631658
9.53453454    -2.11521316    1.49364131
9.54954955    -2.12174287    1.47054609
9.56456456    -2.11863075    1.44318110
9.57957958    -2.10785099    1.41739591
9.59459460    -2.09215841    1.39447120
9.60960961    -2.07233323    1.37573223
9.62462462    -2.05118301    1.36378485
9.63963964    -2.03465912    1.35779653
9.65465465    -2.02576209    1.35074066
9.66966967    -2.01912900    1.33608097
9.68468469    -2.00656712    1.31561098
9.69969970    -1.98603416    1.29658763
9.71471471    -1.96185959    1.28311293
9.72972973    -1.93732577    1.27377007
9.74474475    -1.91185405    1.26767749
9.75975976    -1.88570795    1.26662236
9.77477477    -1.86151537    1.27175495
9.78978979    -1.84243367    1.28204284
9.80480480    -1.83037866    1.29475731
9.81981982    -1.82568872    1.30695923
9.83483484    -1.82774229    1.31591345
9.84984985    -1.83509958    1.31924675
9.86486486    -1.84573017    1.31450761
9.87987988    -1.85505067    1.29946855
9.89489490    -1.85655651    1.27620054
9.90990991    -1.84711642    1.25117779
9.92492492    -1.82851761    1.23054929
9.93993994    -1.80502207    1.21804638
9.95495495    -1.78252843    1.21432370
9.96996997    -1.76558471    1.21544958
9.98498499    -1.75370211    1.21628980
10.00000000    -1.74357369    1.21535741
10.01501501    -1.73384863    1.21407268
10.03003003    -1.72535985    1.21285841
10.04504505    -1.71812087    1.21056797
10.06006006    -1.71084357    1.20693375
10.07507508    -1.70292511    1.20279550
10.09009009    -1.69459297    1.19878095
10.10510510    -1.68639362    1.19498254
10.12012012    -1.67853980    1.19057837
10.13513514    -1.66957485    1.18497508
10.15015015    -1.65798858    1.17993239
10.16516516    -1.64482456    1.17806264
10.18018018    -1.63311313    1.17987365
10.19519520    -1.62468533    1.18316606
10.21021021    -1.61892898    1.18603258
10.22522523    -1.61514169    1.18797229
10.24024024    -1.61298855    1.18821578
10.25525525    -1.61119458    1.18592265
10.27027027    -1.60765333    1.18145633
10.28528529    -1.60101098    1.17741804
10.30030030    -1.59325707    1.17654259
10.31531531    -1.58716298    1.17814579
10.33033033    -1.58304793    1.18099493
10.34534535    -1.58183383    1.18499735
10.36036036    -1.58483367    1.18807895
10.37537538    -1.59067397    1.18754604
10.39039039    -1.59651998    1.18310071
10.40540540    -1.60119006    1.17659591
10.42042042    -1.60575165    1.16857359
10.43543544    -1.60958000    1.15762191
10.45045045    -1.61028478    1.14464442
10.46546546    -1.60797543    1.13245157
10.48048048    -1.60485077    1.12184137
10.49549550    -1.60197549    1.11165487
10.51051051    -1.59902000    1.10112696
10.52552553    -1.59564189    1.08978541
10.54054054    -1.59025410    1.07760717
10.55555556    -1.58227790    1.06718865
10.57057057    -1.57438550    1.06000426
10.58558559    -1.56886945    1.05458689
10.60060060    -1.56625926    1.04852627
10.61561562    -1.56491114    1.03950338
10.63063063    -1.56172384    1.02796321
10.64564565    -1.55629593    1.01669930
10.66066066    -1.55057294    1.00613142
10.67567568    -1.54444590    0.99500743
10.69069069    -1.53695255    0.98389373
10.70570571    -1.52883679    0.97342724
10.72072072    -1.51995379    0.96267368
10.73573574    -1.50886930    0.95256949
10.75075075    -1.49643727    0.94510320
10.76576577    -1.48447653    0.94048824
10.78078078    -1.47423363    0.93820917
10.79579580    -1.46687843    0.93715055
10.81081081    -1.46255419    0.93550158
10.82582583    -1.46049183    0.93204453
10.84084084    -1.45988227    0.92577795
10.85585586    -1.45893012    0.91573971
10.87087087    -1.45509456    0.90277298
10.88588589    -1.44745323    0.88930512
10.90090090    -1.43668622    0.87718942
10.91591592    -1.42409339    0.86757930
10.93093093    -1.41132593    0.86030112
10.94594595    -1.39857937    0.85439940
10.96096096    -1.38548041    0.85029102
10.97597598    -1.37296216    0.84866873
10.99099099    -1.36229161    0.84919151
11.00600601    -1.35452068    0.85095320
11.02102102    -1.35024211    0.85197907
11.03603604    -1.34777794    0.85008345
11.05105105    -1.34432063    0.84595981
11.06606607    -1.33989975    0.84213136
11.08108108    -1.33670676    0.83863920
11.09609610    -1.33489877    0.83329936
11.11111111    -1.33254833    0.82520212
11.12612613    -1.32773300    0.81512625
11.14114114    -1.31941937    0.80523095
11.15615616    -1.30875083    0.79801432
11.17117117    -1.29850476    0.79392540
11.18618619    -1.29019534    0.79098607
11.20120120    -1.28291348    0.78756890
